"country","BestCountries2023OverallRank","BestCountries2023AdventureRank","BestCountries2023AgiltyRank","BestCountries2023CulturalInfluenceRank","BestCountries2023EntrepreneurshipRank","BestCountries2023HeritageRank","BestCountries2023MoversRank","BestCountries2023OpenForBusinessRank","BestCountries2023PowerRank","BestCountries2023QualityOfLifeRank","BestCountries2023SocialPurposeRank"
"India",30,53,37,29,31,10,5,36,12,39,71
"China",20,61,19,16,8,13,6,61,2,25,78
"United States",5,33,1,3,1,21,24,59,1,23,19
"Indonesia",41,34,48,43,45,22,22,19,36,38,56
"Brazil",28,1,25,11,35,12,9,70,19,46,36
"Bangladesh",69,82,79,71,65,82,43,30,40,58,83
"Russia",37,79,36,38,28,43,19,87,3,51,58
"Mexico",33,9,31,24,39,5,20,63,26,41,44
"Japan",6,30,6,5,3,6,11,37,8,14,23
"Egypt",34,25,46,30,49,7,3,64,34,52,51
"Philippines",43,22,44,39,50,36,32,21,46,37,53
"Vietnam",44,42,47,53,42,29,17,31,27,36,72
"Iran",87,87,85,76,70,74,54,86,18,86,87
"Turkey",32,19,34,31,34,8,14,56,15,32,59
"Germany",7,43,10,10,2,20,58,22,4,9,13
"Thailand",29,5,30,20,38,9,8,9,33,34,45
"United Kingdom",9,38,14,6,4,15,61,45,5,13,12
"France",12,11,18,2,13,4,44,44,7,17,16
"South Africa",46,35,43,40,44,24,28,79,29,55,39
"Italy",15,2,21,1,22,1,21,47,16,20,20
"Kenya",59,56,75,61,79,57,25,57,73,70,54
"Myanmar",80,76,84,79,83,77,38,73,58,75,85
"Colombia",60,40,63,44,60,40,71,76,44,67,52
"South Korea",21,54,13,7,7,31,10,74,6,24,40
"Spain",17,4,17,4,24,3,36,29,20,18,17
"Algeria",79,78,66,74,71,70,65,66,52,79,69
"Argentina",39,12,33,34,41,16,53,75,47,44,32
"Canada",2,20,2,15,5,28,57,11,13,3,4
"Poland",35,41,32,46,30,30,85,27,37,22,21
"Morocco",40,21,50,36,62,14,13,33,54,48,60
"Ukraine",68,85,41,63,51,81,80,82,14,87,34
"Uzbekistan",83,83,86,86,81,86,46,77,51,83,79
"Malaysia",38,31,38,42,37,33,31,12,42,31,55
"Ghana",73,73,76,64,76,84,49,48,63,72,63
"Peru",50,32,61,48,69,25,30,34,70,62,50
"Saudi Arabia",31,75,29,35,26,51,4,84,9,30,75
"Cameroon",78,70,81,80,82,79,55,53,76,76,70
"Australia",4,8,3,12,15,19,26,13,17,8,9
"Sri Lanka",54,44,80,59,66,54,18,25,53,66,77
"Kazakhstan",84,86,83,85,80,83,50,80,50,81,82
"Chile",51,37,42,50,56,38,56,49,55,53,42
"Romania",55,47,57,55,53,46,75,58,78,40,37
"Guatemala",75,59,77,75,84,69,59,50,64,74,68
"Netherlands",10,15,9,18,12,27,45,14,25,7,7
"Ecuador",71,45,64,70,77,61,70,54,68,69,47
"Cambodia",64,63,82,65,75,55,33,38,62,56,80
"Zimbabwe",76,74,87,72,87,75,34,65,69,78,66
"Tunisia",70,49,74,56,73,52,68,42,77,64,67
"Belgium",18,36,20,23,14,42,76,15,28,11,10
"Jordan",67,60,70,57,63,47,60,68,61,68,62
"Dominican Republic",53,18,58,41,78,56,51,39,75,61,46
"United Arab Emirates",19,48,15,9,17,53,1,40,10,26,48
"Honduras",81,64,71,73,86,78,62,62,72,80,74
"Czech Republic",48,50,40,51,32,48,86,72,66,29,24
"Sweden",3,24,7,14,9,44,41,4,23,1,1
"Portugal",25,6,24,25,29,11,66,23,39,19,18
"Azerbaijan",77,72,69,78,72,80,40,69,57,82,81
"Greece",27,3,28,13,33,2,15,43,43,28,22
"Hungary",49,52,49,58,36,39,81,46,67,35,26
"Israel",36,67,35,47,27,37,12,83,11,43,57
"Austria",22,17,23,28,19,18,73,18,38,12,11
"Belarus",86,84,73,84,59,87,63,85,30,84,64
"Switzerland",1,13,16,8,6,23,23,1,21,6,8
"Bulgaria",61,55,67,62,54,58,84,24,82,42,35
"Serbia",82,77,68,83,64,66,79,78,71,73,61
"El Salvador",74,58,78,66,85,71,47,67,60,77,65
"Denmark",13,28,11,19,11,35,69,6,32,4,5
"Singapore",16,16,5,17,10,32,7,7,24,21,25
"Lebanon",85,69,72,68,68,59,74,81,49,85,84
"Finland",14,27,12,32,16,50,39,3,41,5,3
"Norway",11,23,8,27,18,34,42,5,35,2,2
"Slovakia",63,66,56,82,47,64,83,41,85,47,29
"Oman",65,80,65,67,57,72,37,60,56,65,73
"Ireland",23,14,27,26,25,17,52,16,48,15,14
"New Zealand",8,7,4,22,21,26,16,10,31,10,6
"Costa Rica",42,10,45,37,74,45,27,20,74,50,41
"Panama",52,39,59,52,58,62,48,8,65,71,49
"Croatia",45,29,39,45,40,41,64,55,79,33,27
"Uruguay",57,51,52,60,67,63,67,32,80,60,38
"Qatar",26,57,22,21,23,67,2,71,22,27,76
"Lithuania",62,71,53,87,46,76,78,26,84,57,31
"Slovenia",66,62,60,77,52,65,87,52,83,49,30
"Latvia",72,68,62,81,55,73,82,35,86,63,33
"Bahrain",58,81,54,54,48,85,35,51,59,59,86
"Estonia",56,65,55,69,43,68,77,28,87,45,28
"Cyprus",47,26,51,49,61,49,29,17,81,54,43
"Luxembourg",24,46,26,33,20,60,72,2,45,16,15
